movie_id,title,genres,director,cast,overview
1,The Avengers,Action Sci-Fi Superhero,Joss Whedon,"Robert Downey Jr., Chris Evans, Scarlett Johansson",Earth's mightiest heroes team up to stop Loki and his alien army from conquering the planet.
2,Avengers: Endgame,Action Sci-Fi Superhero,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Scarlett Johansson",The remaining Avengers assemble one last time to undo the damage caused by Thanos and restore balance to the universe.
3,Avengers: Infinity War,Action Sci-Fi Superhero,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Chris Evans",The Avengers and their allies must be willing to sacrifice everything to stop the powerful Thanos from wiping out half the universe.
4,The Dark Knight,Action Crime Drama,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart","Batman faces his greatest psychological and physical test as he battles the Joker, a criminal mastermind who wants to plunge Gotham into chaos."
5,Batman Begins,Action Crime Drama,Christopher Nolan,"Christian Bale, Michael Caine, Liam Neeson","After witnessing his parents death, Bruce Wayne trains to become a symbol of fear for criminals and returns to Gotham as Batman."
6,The Dark Knight Rises,Action Crime Drama,Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway","Eight years after the Joker's rise, Batman is forced out of retirement to save Gotham from the ruthless mercenary Bane."
7,Interstellar,Sci-Fi Drama Adventure,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival as Earth becomes uninhabitable.
8,The Notebook,Romance Drama,Nick Cassavetes,"Ryan Gosling, Rachel McAdams, James Garner","A poor young man and a wealthy young woman fall deeply in love in the 1940s, but must overcome social barriers and years of separation to be together."
9,Inception,Sci-Fi Action Thriller,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page",A skilled thief who steals secrets through dream-sharing technology is given a chance to have his criminal history erased by planting an idea into a target's mind.
10,Iron Man,Action Sci-Fi Superhero,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Jeff Bridges",A billionaire industrialist and genius inventor builds a powered suit of armor to fight evil after being held captive in a cave with a bomb-making group.
11,Titanic,Romance Drama,James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane",A young aristocrat falls in love with a poor artist aboard the ill-fated luxury liner during its doomed maiden voyage.
12,The Shawshank Redemption,Drama Crime,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton",A banker wrongly convicted of murder forms a lasting friendship with a fellow inmate over decades in prison while never losing hope.
13,Joker,Crime Drama Thriller,Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz",A struggling comedian and society's neglect of him push a mentally troubled man down a path of chaos and crime in Gotham City.
14,Spider-Man: No Way Home,Action Sci-Fi Superhero,Jon Watts,"Tom Holland, Zendaya, Benedict Cumberbatch","When Peter Parker's secret identity is revealed, he asks a sorcerer for help, but a spell gone wrong brings villains from other universes into his world."
15,3 Idiots,Comedy Drama,Rajkumar Hirani,"Aamir Khan, R. Madhavan, Sharman Joshi","Two friends search for their long-lost engineering college buddy, reminiscing about the hilarious and touching lessons he taught them about life."
16,Dangal,Sports Drama Biography,Nitesh Tiwari,"Aamir Khan, Fatima Sana Shaikh, Sanya Malhotra","A former wrestler trains his daughters to become world-class wrestlers despite societal resistance, fulfilling his own unrealized Olympic dream."
17,Sholay,Action Drama,Ramesh Sippy,"Amitabh Bachchan, Dharmendra, Sanjeev Kumar",Two small-time criminals are hired by a retired police officer to capture a ruthless bandit terrorizing his village.
18,Lagaan,Sports Drama Musical,Ashutosh Gowariker,"Aamir Khan, Gracy Singh, Rachel Shelley",Villagers in colonial India accept a challenge to play cricket against British officers to avoid paying an unfair tax during a famine.
19,Zindagi Na Milegi Dobara,Comedy Drama Adventure,Zoya Akhtar,"Hrithik Roshan, Farhan Akhtar, Abhay Deol",Three friends on a bachelor road trip through Spain rediscover themselves and confront their fears through adventure sports and old wounds.
20,Dilwale Dulhania Le Jayenge,Romance Drama Musical,Aditya Chopra,"Shah Rukh Khan, Kajol, Amrish Puri",A young man falls in love with a woman during a European trip and travels to India to win over her traditional family and marry her.
21,Gully Boy,Musical Drama,Zoya Akhtar,"Ranveer Singh, Alia Bhatt, Siddhant Chaturvedi",A street rapper from the slums of Mumbai chases his dream of becoming a hip-hop star while breaking free from his circumstances.
22,Andhadhun,Thriller Crime Comedy,Sriram Raghavan,"Ayushmann Khurrana, Tabu, Radhika Apte","A blind pianist gets entangled in a murder investigation after witnessing more than he should have, leading to a web of deception."
23,Queen,Comedy Drama,Vikas Bahl,"Kangana Ranaut, Rajkummar Rao, Lisa Haydon","After being jilted by her fiance days before the wedding, a shy Delhi girl embarks on her honeymoon alone and discovers her own independence."
24,Taare Zameen Par,Drama Family,Aamir Khan,"Darsheel Safary, Aamir Khan, Tisca Chopra",A struggling dyslexic child's life changes when an art teacher recognizes his talent and helps him overcome his learning difficulties.
25,The Godfather,Crime Drama,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan",The aging patriarch of an organized crime dynasty transfers control of his empire to his reluctant youngest son.
